Brand,Model,2014,2013,2012,2011
AUDI,A1,"902,164","767,000","652,000","554,000"
AUDI,A3,"1,089,500","926,000","787,000","669,000"
AUDI,A4,"1,430,000","1,216,000","1,034,000","879,000"
AUDI,A5,"1,822,000","1,549,000","1,317,000","1,119,000"
AUDI,A6,"1,944,000","1,652,000","1,404,000","1,193,000"
AUDI,A7,"2,480,000","2,108,000","1,792,000","1,523,000"
AUDI,A8,"4,055,000","3,447,000","2,930,000","2,491,000"
AUDI,Q3,"1,363,000","1,159,000","985,000","837,000"
AUDI,Q5,"1,946,000","1,654,000","1,406,000","1,195,000"
AUDI,Q7,"3,179,000","2,702,000","2,297,000","1,952,000"
BMW,1 SERIES,"1,120,000","952,000","809,000","688,000"
BMW,3 SERIES,"1,490,000","1,267,000","1,077,000","915,000"
BMW,5 SERIES,"2,340,000","1,989,000","1,691,000","1,437,000"
BMW,6 SERIES,"3,580,000","3,043,000","2,587,000","2,199,000"
BMW,7 SERIES,"4,450,000","3,783,000","3,216,000","2,734,000"
BMW,X1,"1,524,000","1,295,000","1,101,000","936,000"
BMW,X3,"2,120,000","1,802,000","1,532,000","1,302,000"
BMW,X5,"3,417,000","2,904,000","2,468,000","2,098,000"
BMW,X6,"3,660,000","3,111,000","2,644,000","2,247,000"
CADILLAC,CTS,"1,790,000","1,522,000","1,294,000","1,100,000"
CADILLAC,ESCALADE,"2,865,000","2,435,000","2,070,000","1,760,000"
CADILLAC,SRX,"1,909,000","1,623,000","1,380,000","1,173,000"
CHEVROLET,AVEO,"530,000","451,000","383,000","326,000"
CHEVROLET,CAPTIVA,"1,205,000","1,024,000","870,000","740,000"
CHEVROLET,CRUZE,"709,000","603,000","513,000","436,000"
CHEVROLET,EPICA,"743,400","632,000","537,000","456,000"
CHEVROLET,LACETTI,"507,800","432,000","367,000","312,000"
ВАЗ,2123,"473,000","402,000","342,000","291,000"
CHEVROLET,ORLANDO,"845,000","718,000","610,000","519,000"
CHEVROLET,SPARK,"446,000","379,000","322,000","274,000"
CHEVROLET,TAHOE,"2,280,000","1,938,000","1,647,000","1,400,000"
CITROEN,C1,"474,000","403,000","343,000","292,000"
CITROEN,C3,"616,000","524,000","445,000","378,000"
CITROEN,C3 Picasso,"664,500","565,000","480,000","408,000"
CITROEN,C4,"659,900","561,000","477,000","405,000"
CITROEN,C4 Aircross,"1,049,000","892,000","758,000","644,000"
CITROEN,C4 Picasso,"815,000","693,000","589,000","501,000"
CITROEN,C5,"1,035,000","880,000","748,000","636,000"
CITROEN,C6,"565,400","481,000","409,000","348,000"
CITROEN,C-Crosser,"1,139,000","968,000","823,000","700,000"
CITROEN,C-Elysee,"565,400","481,000","409,000","348,000"
CITROEN,DS3,"774,000","658,000","559,000","475,000"
CITROEN,DS4,"955,000","812,000","690,000","587,000"
DAEWOO,MATIZ,"261,000","222,000","189,000","161,000"
DAEWOO,NEXIA,"319,000","271,000","230,000","196,000"
FIAT,500,"665,000","565,000","480,000","408,000"
FIAT,Doblo,"580,000","493,000","419,000","356,000"
FIAT,Punto,"585,000","497,000","422,000","359,000"
FORD,Explorer,"1,977,000","1,680,000","1,428,000","1,214,000"
FORD,Fiesta,"647,500","550,000","468,000","398,000"
FORD,Focus,"721,500","613,000","521,000","443,000"
FORD,Fusion,"582,200","495,000","421,000","358,000"
FORD,Galaxy,"1,237,000","1,051,000","893,000","759,000"
FORD,Kuga,"1,199,000","1,019,000","866,000","736,000"
FORD,Mondeo,"1,080,500","918,000","780,000","663,000"
FORD,Ranger,"1,317,000","1,119,000","951,000","808,000"
FORD,S-Max,"1,237,500","1,052,000","894,000","760,000"
HONDA,Accord,"1,339,000","1,138,000","967,000","822,000"
HONDA,Civic,"829,000","705,000","599,000","509,000"
HONDA,Crosstour,"1,920,000","1,632,000","1,387,000","1,179,000"
HONDA,Jazz,"669,000","569,000","484,000","411,000"
HONDA,Pilot,"1,952,000","1,659,000","1,410,000","1,199,000"
HYUNDAI,Accent,"416,700","354,000","301,000","256,000"
HYUNDAI,Elantra,"799,000","679,000","577,000","490,000"
HYUNDAI,Equus,"2,890,000","2,457,000","2,088,000","1,775,000"
HYUNDAI,Genesis,"1,599,000","1,359,000","1,155,000","982,000"
HYUNDAI,Grandeur,"1,669,000","1,419,000","1,206,000","1,025,000"
HYUNDAI,I30,"729,000","620,000","527,000","448,000"
HYUNDAI,I40,"1,089,000","926,000","787,000","669,000"
HYUNDAI,IX35,"1,009,000","858,000","729,000","620,000"
HYUNDAI,IX55,"2,019,900","1,717,000","1,459,000","1,240,000"
HYUNDAI,Santa Fe,"1,535,000","1,305,000","1,109,000","943,000"
HYUNDAI,Solaris,"527,000","448,000","381,000","324,000"
HYUNDAI,Sonata,"1,154,900","982,000","835,000","710,000"
INFINITI,EX,"1,994,000","1,695,000","1,441,000","1,225,000"
INFINITI,FX,"2,774,000","2,358,000","2,004,000","1,703,000"
INFINITI,G,"1,900,000","1,615,000","1,373,000","1,167,000"
INFINITI,M,"2,385,000","2,027,000","1,723,000","1,465,000"
INFINITI,QX,"3,795,000","3,226,000","2,742,000","2,331,000"
JAGUAR,XF,"2,500,000","2,125,000","1,806,000","1,535,000"
JAGUAR,XJ,"4,530,000","3,851,000","3,273,000","2,782,000"
JEEP,Cherokee,"1,728,900","1,470,000","1,250,000","1,063,000"
JEEP,Compass,"1,321,000","1,123,000","955,000","812,000"
JEEP,Grand Cherokee,"2,433,000","2,068,000","1,758,000","1,494,000"
JEEP,Liberty,"1,303,000","1,108,000","942,000","801,000"
JEEP,Wrangler,"1,895,000","1,611,000","1,369,000","1,164,000"
KIA,Cerato,"799,900","680,000","578,000","491,000"
KIA,Mohave,"1,899,900","1,615,000","1,373,000","1,167,000"
KIA,Optima,"1,139,900","969,000","824,000","700,000"
KIA,Picanto,"509,900","433,000","368,000","313,000"
KIA,Quoris,"2,129,900","1,810,000","1,539,000","1,308,000"
KIA,Rio,"589,900","501,000","426,000","362,000"
KIA,Sorento,"1,399,900","1,190,000","1,012,000","860,000"
KIA,Soul,"739,900","629,000","535,000","455,000"
KIA,Sportage,"1,069,900","909,000","773,000","657,000"
KIA,Venga,"679,900","578,000","491,000","417,000"
LAND ROVER,Defender,"1,464,000","1,244,000","1,057,000","898,000"
LAND ROVER,Discovery,"2,648,000","2,251,000","1,913,000","1,626,000"
LAND ROVER,Freelander,"1,715,000","1,458,000","1,239,000","1,053,000"
LAND ROVER,Range Rover,"4,785,000","4,067,000","3,457,000","2,938,000"
LAND ROVER,Range Rover Evoque,"2,060,000","1,751,000","1,488,000","1,265,000"
